iter	MultiClass
153	0.2274417572
154	0.227023896
155	0.2260916427
156	0.2252509601
157	0.2243996095
158	0.2238194707
159	0.2224794437
160	0.2211995955
161	0.2205807883
162	0.2199803182
163	0.2192884797
164	0.2183605254
165	0.2177882604
166	0.2170642789
167	0.2162734298
168	0.2157908954
169	0.2149922574
170	0.2145494867
171	0.2136567942
172	0.2132400317
173	0.2125452697
174	0.2121015954
175	0.2111522542
176	0.2106403184
177	0.2099750311
178	0.2095435293
179	0.2085735016
180	0.2075624942
181	0.2067697296
182	0.2063702805
183	0.2054632413
184	0.2048350277
185	0.2043257468
186	0.2037057528
187	0.2030932081
188	0.202257985
189	0.2011934819
190	0.2007437637
191	0.2003603108
192	0.1999074609
193	0.1992260427
194	0.1984650342
195	0.1981896558
196	0.1973696199
197	0.1971318824
198	0.1966828917
199	0.1960355247
200	0.1952424448
201	0.1949473584
202	0.1945454105
203	0.194344043
204	0.1935341
205	0.1929007227
206	0.1922627606
207	0.1915930146
208	0.1912477962
209	0.1908907331
210	0.1901510496
211	0.1898879706
212	0.1894213797
213	0.1889299411
214	0.1883572539
215	0.1875010865
216	0.1871166927
217	0.1866244887
218	0.1860928701
219	0.1857874164
220	0.1851022019
221	0.184723584
222	0.1841918442
223	0.1836713824
224	0.1830380109
225	0.1826482237
226	0.181953379
227	0.1816359013
228	0.181175895
229	0.1807794557
230	0.180266941
231	0.1796848751
232	0.1793144289
233	0.1789638125
234	0.1783632629
235	0.1780491384
236	0.1776781814
237	0.1773518308
238	0.1768739214
239	0.1765605674
240	0.1760406247
241	0.175560544
242	0.1749458983
243	0.1745888565
244	0.1742113204
245	0.1740032887
246	0.1734611257
247	0.1730493016
248	0.1725745599
249	0.1722301852
250	0.1715460014
251	0.1712818499
252	0.1708813268
253	0.1704649282
254	0.1700311522
255	0.1697328545
256	0.1693677244
257	0.1690630466
258	0.1687625191
259	0.1681593579
260	0.1678592042
261	0.1674656075
262	0.1670619699
263	0.1666438
264	0.1664039466
265	0.1660386302
266	0.1657682908
267	0.165552892
268	0.1653487774
269	0.1650414281
270	0.1646564882
271	0.1642039666
272	0.1640646004
273	0.1634451804
274	0.1631131406
275	0.1627301698
276	0.1625155981
277	0.1621734348
278	0.1618501634
279	0.1611125673
280	0.1608652388
281	0.1604797015
282	0.1602154971
283	0.1598011913
284	0.1595474012
285	0.1591616259
286	0.1588698764
287	0.1585901861
288	0.1583053565
289	0.158060438
290	0.1579294498
291	0.1577923595
292	0.1575125781
293	0.1573269212
294	0.157051287
295	0.1567865108
296	0.1565086017
297	0.156313961
298	0.1560708178
299	0.1556930985
300	0.1552407229
301	0.1548670576
302	0.1545052295
303	0.1540879088
304	0.1536878962
305	0.1532577669
306	0.1529596169
307	0.1526437637
308	0.152348828
309	0.1521103393
310	0.1518401744
311	0.151635245
312	0.1512128017
313	0.1508852075
314	0.1506055487
315	0.1504603161
316	0.1502861178
317	0.1500839967
318	0.1496996227
319	0.1492569789
320	0.149011049
321	0.1487822158
322	0.1483239225
323	0.1480354383
324	0.1478894521
325	0.1476156002
326	0.1474691099
327	0.1471893266
328	0.1469045519
329	0.1467553197
330	0.14659894
331	0.146400133
332	0.1461486472
333	0.1458483942
334	0.1456950302
335	0.1455303301
336	0.1451530257
337	0.1450054582
338	0.1447965642
339	0.1445513929
340	0.1444234061
341	0.144143261
342	0.1439502763
343	0.1437228457
344	0.1435800429
345	0.1433676096
346	0.1431444164
347	0.1426739507
348	0.1421429593
349	0.1419919939
350	0.1417998691
351	0.14159093
352	0.1413181365
353	0.1411241723
354	0.1409181386
355	0.1406703941
356	0.1403923493
357	0.1401139758
358	0.1398369684
359	0.1396745931
360	0.1395541137
361	0.1393255501
362	0.1390329453
363	0.1388978166
364	0.1386558307
365	0.1383914228
366	0.1379945868
367	0.1378316171
368	0.1376318425
369	0.1375046527
370	0.1372648641
371	0.1370271799
372	0.1367231904
373	0.1365436026
374	0.1363608547
375	0.1361840402
376	0.135979834
377	0.1357769355
378	0.1355812278
379	0.1352837808
380	0.1349116947
381	0.1347820147
382	0.134541608
383	0.1342447942
384	0.1340905918
385	0.1339596683
386	0.1336858766
387	0.1335780198
388	0.1331976659
389	0.1330406956
390	0.1327866763
391	0.1325150856
392	0.1323107726
393	0.1321513603
394	0.1318608325
395	0.1317123765
396	0.1316132512
397	0.1314263448
398	0.1311947083
399	0.1310935318
400	0.130941642
401	0.1307974235
402	0.1306837738
403	0.1305735006
404	0.1303394565
405	0.130278057
406	0.1300876167
407	0.1298837867
408	0.129700968
409	0.1294379893
410	0.129277503
411	0.1290324728
412	0.1288684003
413	0.1286858341
414	0.1283352478
415	0.1281944875
416	0.1280712103
417	0.1278785402
418	0.1276935008
419	0.1276389029
420	0.1274461276
421	0.1272211006
422	0.1270316355
423	0.1267619838
424	0.1266562275
425	0.1264532269
426	0.1262222456
427	0.1261047091
428	0.125932579
429	0.1257413171
430	0.1254434222
431	0.1252806972
432	0.1250892827
433	0.1249091297
434	0.1246855548
435	0.1245407988
436	0.1242929999
437	0.1241035315
438	0.124031832
439	0.1238834362
440	0.1237846315
441	0.1235815241
442	0.1234710664
443	0.12327648
444	0.1230572114
445	0.1228596073
446	0.1226218832
447	0.1224056127
448	0.1221896764
449	0.1220208554
450	0.1218880071
451	0.1217847998
452	0.1217027181
453	0.1215955492
454	0.1213711106
455	0.1212026369
456	0.1209430516
457	0.1208555374
458	0.120696088
459	0.1205343116
460	0.1203174602
461	0.1201068028
462	0.1199922325
463	0.119973322
464	0.1197472013
465	0.1196029817
466	0.1194026014
467	0.1192358261
468	0.1190632039
469	0.1189481457
470	0.1188312347
471	0.1185718477
472	0.1184627891
473	0.1183238639
474	0.1181888871
475	0.1180927327
476	0.1179470343
477	0.1177384818
478	0.1175232594
479	0.1174236692
480	0.1173031663
481	0.1171583017
482	0.1170568698
483	0.1168478186
484	0.1165404965
485	0.1163944045
486	0.1162839622
487	0.1161286325
488	0.1159222207
489	0.1157482786
490	0.1156245451
491	0.1154564412
492	0.1153481022
493	0.1152461697
494	0.1150886966
495	0.1149339345
496	0.1147961739
497	0.1146043145
498	0.1143880996
499	0.1142734028
